LCLAS_NM,MLSFC_NM,RPRSNT_RAWMTRL_NM,RAWMTRL_NCKNM,ENG_NM,SCNM,REGN_CD_NM,RAWMTRL_STATS_CD_NM,USE_CND_NM
식품원료(A코드),식물,Sea beet잎, ,"Acelga, Beet, Beetroot",Beta vulgaris var. maritima,잎,,"사용가능부위 : 뿌리, 잎"
식품원료(A코드),식물,Slippery elm,슬리퍼리엘름,"Red Elm, Indian elm, American elm, Moose elm","Ulmus rubra Muhl.
Ulmus fulva Michx. (이명)",전체,,
식품원료(A코드),식물,Sorbus austriaca,,,Sorbus austriaca,전체,,
식품원료(A코드),식물,Spanish sage잎, ,Sage spinach,Salvia lavandulifolia Vahl,잎,,사용가능부위 : 잎
식품원료(A코드),식물,Squaw vine,,"Partridge berry, Squaw Berry, checkerberry, deerberry, winter clover, hive vine, one-berry, twin-berry",Mitchela repens,전체,,
식품원료(A코드),식물,Star reindeer lichen,별꽃이끼,"Star-tipped reindeer lichen, Star reindeer lichen","Cladonia stellaris (Opiz) Pouzar & V?zda
Cladonia alpestris (L.) Rabenh (이명)",전체,,
식품원료(A코드),식물,Strawberry guave열매, ,"Erdbeerguave, Cattley guava",Psidium littorale Myrtaceae / Psidium cattleianum,열매,,사용가능부위 : 열매
식품원료(A코드),식물,Strophanthus,,Strophanthus hispidus. Kombe Seeds,Strophanthus Kombe Oliv.,전체,,
식품원료(A코드),식물,Sugar beet잎, ,White beet,Beta vulgaris var. altissima,잎,,"사용가능부위 : 뿌리, 잎"
식품원료(A코드),식물,Sugar beet뿌리, ,White beet,Beta vulgaris var. altissima,뿌리,,"사용가능부위 : 뿌리, 잎"
식품원료(A코드),식물,Suma,,"Para todo, Brazilian ginseng, SUMA",Pfaffia paniculata,-,,
식품원료(A코드),식물,브라질리언체리열매,,,Eugenia brasiliensis / Eugenia dombeyi,열매,,사용가능부위 : 열매
식품원료(A코드),식물,Sweet Lime열매, ,Sweet limetta,Citrus limettioides / Citrus lumia,열매,,사용가능부위 : 열매
식품원료(A코드),식물,Sweet trefoil꽃, ,"Blue Fenugreek, Trefoil, Curb herb",Trigonella caerulea,꽃,,"사용가능부위 : 잎, 꽃, 씨앗"
식품원료(A코드),식물,Sweet trefoil씨앗, ,"Blue Fenugreek, Trefoil, Curb herb",Trigonella caerulea,씨앗,,"사용가능부위 : 잎, 꽃, 씨앗"
식품원료(A코드),식물,Sweet trefoil잎, ,"Blue Fenugreek, Trefoil, Curb herb",Trigonella caerulea,잎,,"사용가능부위 : 잎, 꽃, 씨앗"
식품원료(A코드),식물,Tagal mangrove열매,,,Ceriops tagal (Perr.) C.B. Rob. / Ceriops candolliana Arn.,열매,,사용가능부위 : 열매
식품원료(A코드),식물,Tanners cassia,,"avarai, avaram, Tanners cassia",Cassia auriculata L.,전체,,
식품원료(A코드),식물,Tef씨앗,,,Eragrostis tef,씨앗,,사용가능부위 : 씨앗
식품원료(A코드),식물,Typycha kuratu잎,야감초,"Vassourinha, Escobilla, Broom snakeweed",Scoparia dulcis L.,잎,,"사용가능부위 : 줄기, 잎"
식품원료(A코드),식물,Typycha kuratu줄기,야감초,"Vassourinha, Escobilla, Broom snakeweed",Scoparia dulcis L.,줄기,,"사용가능부위 : 줄기, 잎"
식품원료(A코드),식물,Valerian뿌리,,-,Valeriana capitata / Valeriana Phu Aurea / Valeriana occidentalis,뿌리,,제한적사용가능부위 : 뿌리
식품원료(A코드),식물,가르시니아캄보지아열매껍질, ,"Vilati Amli, Rata goraka, Goraka",Garcinia Cambogia,열매껍질,,제한적사용가능부위 : 열매껍질 / 사용조건 : 껍질추출물로 체중조절용 조제식품에만 부원료로서 최소량(5% 이하를 사용하여야 하나 1일 섭취량 6g을 초과할 수 없다)을 사용하여야 한다.
식품원료(A코드),식물,가르시니아캄보지아껍질분말, ,"Vilati Amli, Rata goraka, Goraka",Garcinia Cambogia,열매껍질,,제한적사용가능부위 : 열매껍질 / 사용조건 : 껍질추출물로 체중조절용 조제식품에만 부원료로서 최소량(5% 이하를 사용하여야 하나 1일 섭취량 6g을 초과할 수 없다)을 사용하여야 한다.
식품원료(A코드),식물,가르시니아캄보지아껍질추출물, ,"Vilati Amli, Rata goraka, Goraka",Garcinia Cambogia,열매껍질,,제한적사용가능부위 : 열매껍질 / 사용조건 : 껍질추출물로 체중조절용 조제식품에만 부원료로서 최소량(5% 이하를 사용하여야 하나 1일 섭취량 6g을 초과할 수 없다)을 사용하여야 한다.
식품원료(A코드),식물,가르시니아캄보지아껍질추출물분말, ,"Vilati Amli, Rata goraka, Goraka",Garcinia Cambogia,열매껍질,,제한적사용가능부위 : 열매껍질 / 사용조건 : 껍질추출물로 체중조절용 조제식품에만 부원료로서 최소량(5% 이하를 사용하여야 하나 1일 섭취량 6g을 초과할 수 없다)을 사용하여야 한다.
식품원료(A코드),식물,Wampee열매,,,Clausena lansium Skeels / Clausena wampi,열매,,사용가능부위 : 열매
식품원료(A코드),식물,Wild yam,,Dioscorea,Dioscorea villosa,전체,,
식품원료(A코드),식물,Wisteria열매,"위스테리아, 등나무",,Wisteria spp.,열매,,
식품원료(A코드),식물,Wood Betony,,"Bishopswort, Betony, Stachys betonica, Lousewort",Betonica officinalis,전체,,
식품원료(A코드),식물,Yellow bedstraw꽃,,Ladys bedstraw,Galium verum L.,꽃,,"사용가능부위 : 잎, 꽃, 씨앗"
식품원료(A코드),식물,Yellow bedstraw씨앗,,Ladys bedstraw,Galium verum L.,씨앗,,"사용가능부위 : 잎, 꽃, 씨앗"
식품원료(A코드),식물,Yellow bedstraw잎,,Ladys bedstraw,Galium verum L.,잎,,"사용가능부위 : 잎, 꽃, 씨앗"
식품원료(A코드),식물,Zanthoxylum bungeanum열매, ,-,Zanthoxylum bungeanum,열매,,제한적사용가능부위 : 열매
식품원료(A코드),식물,가는대나물잎,"가는잎대나물, 두메마디나물",Pink baby’s-breath,Gypsophila pacifica Kom,잎,,사용가능부위 : 잎
식품원료(A코드),식물,가는대눈물버섯,ナヨタケ,,Psathyrella gracilis,-,,
식품원료(A코드),식물,가는등갈퀴잎,가는등갈키,Fine-leaf vetch,Vicia tenuifolia Roth,잎,,"사용가능부위 : 줄기, 잎"
식품원료(A코드),식물,가는등갈퀴줄기,가는등갈키,Fine-leaf vetch,Vicia tenuifolia Roth,줄기,,"사용가능부위 : 줄기, 잎"
식품원료(A코드),식물,가는쑥부쟁이순,"가는잎쑥부쟁이, 가는쑥부장이",Thick-stem aster,Aster pekinensis (Hance) Chen / Aster holophyllus Hemsl. / Aster integrifolius (Turcz.) Franch.,순,,사용가능부위 : 순
식품원료(A코드),식물,가는오이풀잎,"흰오이풀, 애기오이풀",Asian burnet,Sanguisorba tenuifolia Fisch. ex Link,잎,,사용가능부위 : 잎
식품원료(A코드),식물,가는오이풀순,"흰오이풀, 애기오이풀",Asian burnet,Sanguisorba tenuifolia Fisch. ex Link,순,,사용가능부위 : 잎
