식품코드,식품명,데이터구분코드,데이터구분명,식품기원코드,식품기원명,식품대분류코드,식품대분류명,대표식품코드,대표식품명,식품중분류코드,식품중분류명,식품소분류코드,식품소분류명,식품세분류코드,식품세분류명,영양성분함량기준량,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),폐기율(%),출처코드,출처명,원산지국코드,수입여부,데이터생성방법명,원산지국명,원산지역명,데이터생성방법코드,데이터생성일자,생산·채취·포획월,데이터기준일자,제공기관코드,제공기관명
R105-020000002-0000,아몬드_말린것,R,원재료성 식품,1,식물성,05,견과 및 종실류,05020,아몬드,0502000,해당없음,050200000,해당없음,02,말린것,100g,581,3.4,23.44,49.96,3.11,20.09,6.82,14.5,368,4.76,523,780,6,1,0,17,0.029,1.546,3.789,0,0,0,3.82,0.03,0,1,농촌진흥청(국가표준식품성분표),,N,분석,해당없음,해당없음,1,2013-12-31,,2025-02-24,1390803,농촌진흥청 국립식량과학원
R105-020000058-0000,아몬드_볶은것,R,원재료성 식품,1,식물성,05,견과 및 종실류,05020,아몬드,0502000,해당없음,050200000,해당없음,58,볶은것,100g,594,1.7,23.45,51.29,3.07,20.49,3.91,11.3,337,4.59,542,759,2,1,0,15,0.012,1.364,3.075,0,0,0,3.79,0.04,0,1,농촌진흥청(국가표준식품성분표),,N,분석,해당없음,해당없음,1,2013-12-31,,2025-02-24,1390803,농촌진흥청 국립식량과학원
R105-021008501-0000,연씨_미숙_생것,R,원재료성 식품,1,식물성,05,견과 및 종실류,05021,연씨,0502100,해당없음,050210085,미숙,01,생것,100g,81,77.5,5.9,0.5,1.2,14.9,0.5,2.6,53,0.6,190,410,2,0,0,5,0.18,0.09,1.4,27,0,0,0.1,,55,1,농촌진흥청(국가표준식품성분표),,N,수집,해당없음,해당없음,2,2020-12-31,,2025-02-24,1390803,농촌진흥청 국립식량과학원
R105-022000001-0000,은행_생것,R,원재료성 식품,1,식물성,05,견과 및 종실류,05022,은행,0502200,해당없음,050220000,해당없음,01,생것,100g,203,49.6,4.69,1.53,1.4,42.78,2.95,2.2,7,0.9,161,684,1,23,0,270,0.119,0.033,2.887,16.89,0,0,0.15,0.05,0,1,농촌진흥청(국가표준식품성분표),,N,분석,해당없음,해당없음,1,2015-12-31,,2025-02-24,1390803,농촌진흥청 국립식량과학원
R105-022000046-0000,은행_삶은것,R,원재료성 식품,1,식물성,05,견과 및 종실류,05022,은행,0502200,해당없음,050220000,해당없음,46,삶은것,100g,186,54.5,4.31,1.86,1.08,38.25,1.91,3.5,7,0.79,146,442,1,19,0,229,0.173,0.028,1.004,7.06,0,0,0.19,0.06,0,1,농촌진흥청(국가표준식품성분표),,N,분석,해당없음,해당없음,1,2015-12-31,,2025-02-24,1390803,농촌진흥청 국립식량과학원
R105-022000058-0000,은행_볶은것,R,원재료성 식품,1,식물성,05,견과 및 종실류,05022,은행,0502200,해당없음,050220000,해당없음,58,볶은것,100g,221,45.7,5,2.05,1.49,45.76,3.33,4.3,6,0.99,192,622,0,24,0,291,0.222,0.03,1.484,10.08,0,0,0.21,0.07,0,1,농촌진흥청(국가표준식품성분표),,N,분석,해당없음,해당없음,1,2015-12-31,,2025-02-24,1390803,농촌진흥청 국립식량과학원
R105-023000001-0000,잣_생것,R,원재료성 식품,1,식물성,05,견과 및 종실류,05023,잣,0502300,해당없음,050230000,해당없음,01,생것,100g,630,3.3,15.96,59.28,2.11,19.38,1.33,4.1,18,6.07,470,500,1,1,0,10,0.355,0.062,0.979,0,0,0,3.95,3.98,0,1,농촌진흥청(국가표준식품성분표),,N,분석,해당없음,해당없음,1,2019-04-01,,2025-02-24,1390803,농촌진흥청 국립식량과학원
R105-023000002-0000,잣_말린것,R,원재료성 식품,1,식물성,05,견과 및 종실류,05023,잣,0502300,해당없음,050230000,해당없음,02,말린것,100g,640,3.5,15.4,61.5,2,17.6,,,21,15.9,486,,11,0,0,0,0.58,0.05,1.3,0,,,,,0,1,농촌진흥청(국가표준식품성분표),,N,분석,해당없음,해당없음,1,2008-12-31,,2025-02-24,1390803,농촌진흥청 국립식량과학원
R105-023000058-0000,잣_볶은것,R,원재료성 식품,1,식물성,05,견과 및 종실류,05023,잣,0502300,해당없음,050230000,해당없음,58,볶은것,100g,708,0.5,17.6,75,2.2,4.7,,,10,5.6,176,427,11,0,0,0,0.37,0.1,1.1,0,,,,,0,1,농촌진흥청(국가표준식품성분표),,N,분석,해당없음,해당없음,1,2001-12-31,,2025-02-24,1390803,농촌진흥청 국립식량과학원
R105-026010002-0000,참깨_검정깨_말린것,R,원재료성 식품,1,식물성,05,견과 및 종실류,05026,참깨,0502601,검정깨,050260100,해당없음,02,말린것,100g,549,2.7,20.85,44.12,5.88,26.45,0,22.4,1146,5.8,746,530,0,3,0,41,0.676,0.349,4.496,0,0,0,6.06,0.04,0,1,농촌진흥청(국가표준식품성분표),,N,분석,해당없음,해당없음,1,2013-12-31,,2025-02-24,1390803,농촌진흥청 국립식량과학원
