식품코드,식품명,데이터구분코드,데이터구분명,식품기원코드,식품기원명,식품대분류코드,식품대분류명,대표식품코드,대표식품명,식품중분류코드,식품중분류명,식품소분류코드,식품소분류명,식품세분류코드,식품세분류명,영양성분함량기준량,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),폐기율(%),수입여부
R102-014060006-0000,전분_옥수수+밀_분말화한것,R,원재료성 식품,1,식물성,2,감자 및 전분류,2014,전분,201406,옥수수+밀,20140600,해당없음,6,분말화한것,100g,379,5.8,0.3,0.0,0.1,93.8,,0.4,6.0,0.8,14.0,14.0,16.0,0.0,0.0,0.0,0.12,0.01,1.0,,,,,,0.0,N
R102-014090006-0000,전분_칡뿌리_분말화한것,R,원재료성 식품,1,식물성,2,감자 및 전분류,2014,전분,201409,칡뿌리,20140900,해당없음,6,분말화한것,100g,356,13.9,0.2,0.2,0.1,85.6,0.0,0.0,18.0,2.0,12.0,2.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,N
R102-015000001-0000,천마_생것,R,원재료성 식품,1,식물성,2,감자 및 전분류,2015,천마,201500,해당없음,20150000,해당없음,1,생것,100g,77,79.9,0.9,0.0,0.7,18.5,,,16.0,0.9,21.0,332.0,8.0,0.0,0.0,2.0,0.1,0.05,0.6,92.0,,,,,17.0,N
R102-015000049-0000,천마_찐것,R,원재료성 식품,1,식물성,2,감자 및 전분류,2015,천마,201500,해당없음,20150000,해당없음,49,찐것,100g,81,78.7,1.1,0.0,0.9,19.3,,,16.0,0.5,34.0,353.0,7.0,0.0,0.0,5.0,0.11,0.04,0.5,96.0,,,,,15.0,N
R102-016000001-0000,칡뿌리_생것,R,원재료성 식품,1,식물성,2,감자 및 전분류,2016,칡뿌리,201600,해당없음,20160000,해당없음,1,생것,100g,137,63.7,2.48,0.1,1.67,32.05,3.58,4.4,383.0,2.0,61.0,243.0,0.0,2.0,0.0,18.0,0.152,0.02,1.321,4.66,0.0,0.0,0.04,0.0,17.0,N
R102-017000001-0000,토란_생것,R,원재료성 식품,1,식물성,2,감자 및 전분류,2017,토란,201700,해당없음,20170000,해당없음,1,생것,100g,71,80.8,2.08,0.14,1.21,15.77,0.0,2.8,11.0,0.59,55.0,520.0,2.0,1.0,0.0,10.0,0.081,0.022,0.63,1.21,0.0,0.0,0.05,0.0,12.0,N
R102-017000046-0000,토란_삶은것,R,원재료성 식품,1,식물성,2,감자 및 전분류,2017,토란,201700,해당없음,20170000,해당없음,46,삶은것,100g,73,80.3,2.17,0.18,1.07,16.28,0.46,3.0,18.0,0.77,55.0,489.0,2.0,1.0,0.0,12.0,0.067,0.028,0.305,4.72,0.0,0.0,0.05,0.0,,N
R102-017000049-0000,토란_찐것,R,원재료성 식품,1,식물성,2,감자 및 전분류,2017,토란,201700,해당없음,20170000,해당없음,49,찐것,100g,76,79.5,2.4,0.17,1.18,16.75,0.0,2.9,19.0,0.81,56.0,368.0,2.0,1.0,0.0,17.0,0.073,0.024,0.301,6.44,0.0,0.0,0.05,0.0,,N
R102-018007601-0000,야콘_뿌리_생것,R,원재료성 식품,1,식물성,2,감자 및 전분류,2018,야콘,201800,해당없음,20180076,뿌리,1,생것,100g,52,86.3,0.6,0.3,0.4,12.4,0.5,1.1,11.0,0.2,31.0,240.0,0.0,2.0,0.0,22.0,0.04,0.01,1.0,3.0,0.0,0.0,,,15.0,N
R102-006110001-0000,고구마_진홍미_생것,R,원재료성 식품,1,식물성,2,감자 및 전분류,2006,고구마,200611,진홍미,20061100,해당없음,1,생것,100g,140,64.0,1.2,,1.0,33.8,,,43.0,0.8,51.0,556.0,9.0,3.0,0.0,31.0,0.15,0.03,0.8,1.0,,,,,,N
R102-006150001-0000,고구마_분질(밤) 고구마_생것,R,원재료성 식품,1,식물성,2,감자 및 전분류,2006,고구마,200615,분질(밤) 고구마,20061500,해당없음,1,생것,100g,154,60.6,1.01,0.11,1.09,37.22,9.83,2.7,15.0,0.45,49.0,370.0,7.0,3.0,0.0,32.0,0.065,0.027,0.591,7.12,0.0,0.0,0.05,0.0,11.0,N
