food_code,food_name,data_pid,data_pid_name,serving_size(g),calorie_kcal,carbohydrate_g,protein_g,fat_g,sugar_g,saturated_fat_g,trans_fat_g,sodium_mg,cholesterol_mg,dietary_fiber_g,vitamin_a_μg,vitamin_c_mg,vitamin_d_ug,calcium_mg,iron_mg
R209-028003151-0000,소 부산물_간_구운것(팬),R,원재료성 식품,100.0,175,5.16,26.52,4.68,0.0,2.53,0.34,77.0,381.0,0.0,7743.0,0.7,1.2,6.0,6.17
R209-028003201-0000,소 부산물_골_생것,R,원재료성 식품,100.0,123,1.7,9.3,8.2,,,,154.0,,,91.0,10.0,,14.0,2.8
R209-028003301-0000,소 부산물_꼬리_생것,R,원재료성 식품,100.0,252,0.0,17.4,19.0,,,,42.0,,,6.0,0.0,,22.0,1.5
R209-028003401-0000,소 부산물_소장(곱창)_생것,R,원재료성 식품,100.0,145,0.1,9.0,11.3,,,,45.0,,,15.0,0.0,,12.0,2.1
R209-028003501-0000,소 부산물_신장_생것,R,원재료성 식품,100.0,99,0.29,17.4,3.09,0.0,0.87,0.1,182.0,411.0,0.0,419.0,9.4,1.1,13.0,4.6
R209-028003546-0000,소 부산물_신장_삶은것,R,원재료성 식품,100.0,158,0.0,27.27,4.65,0.0,1.44,0.27,94.0,716.0,0.0,0.0,0.0,1.1,19.0,5.8
R209-028003601-0000,소 부산물_심장(염통)_생것,R,원재료성 식품,100.0,112,0.14,17.72,3.94,0.0,1.38,0.18,98.0,124.0,0.0,0.0,2.0,,7.0,4.31
R209-028003646-0000,소 부산물_심장(염통)_삶은것,R,원재료성 식품,100.0,165,0.15,28.48,4.73,0.0,1.4,0.16,59.0,212.0,0.0,0.0,0.0,0.1,5.0,6.38
R211-043011601-1043,"넙치류_넙치(광어)_암컷,육_생것_거제_4월",R,원재료성 식품,100.0,125,0.5,21.42,3.51,,,,,,,,,,,
R211-043011601-1044,"넙치류_넙치(광어)_암컷,육_생것_거제_5월",R,원재료성 식품,100.0,112,0.0,21.08,2.4,,,,,,,,,,,
R211-043011601-0010,"넙치류_넙치(광어)_암컷,육_생것_대표_10월",R,원재료성 식품,100.0,152,0.0,21.94,6.36,,,,,,,,,,,
R211-043011601-0011,"넙치류_넙치(광어)_암컷,육_생것_대표_11월",R,원재료성 식품,100.0,128,0.0,21.92,3.79,,,,,,,,,,,
